-2.718700e-02 -7.311000e-02 5.320000e-03 -1.196750e-01
-1.302090e-01 -1.365100e-01 1.198410e-01 -8.448000e-02
9.024400e-02 -2.742900e-02 -2.119100e-02 -3.312100e-02
-1.172560e-01 1.325400e-02 1.165530e-01 1.987500e-02
-6.460000e-03 1.144370e-01 2.971000e-03 5.216500e-02
1.249400e-02 -1.241750e-01 -1.263170e-01 -1.356000e-03
1.930500e-02 -5.800400e-02 3.411700e-02 1.148510e-01
1.142630e-01 1.053300e-02 -1.097830e-01 -2.943200e-02
1.572700e-02 -1.154170e-01 6.663200e-02 2.680100e-02
-4.362800e-02 6.632000e-03 -1.045360e-01 -3.190800e-02
1.786000e-02 -2.839500e-02 -6.345900e-02 2.623500e-02
-1.063610e-01 -9.072300e-02 4.730700e-02 3.867200e-02
-1.222560e-01 -1.059390e-01 1.308000e-02 -8.699700e-02
8.001900e-02 1.379000e-03 4.613100e-02 -8.822100e-02
-5.369300e-02 -7.446500e-02 1.201440e-01 -9.908300e-02
-1.161030e-01 -7.606200e-02 8.748900e-02 -9.960800e-02
-1.881100e-02 3.457300e-02 2.921700e-02 2.966000e-03
-1.839000e-02 -3.922900e-02 2.778700e-02 8.160600e-02
